,词汇,词性
0,雷,名词
1,总,区别词
2,定制,名词
3,865x,名词
4,平板,名词
5,处理器,名词
6,一举,副词
7,攻,动词
8,下,动词
9,平板,名词
10,市场,名词
11,雷,名词
12,总,区别词
13,定制,名词
14,一个,数词
15,天,名词
16,玑,名词
17,1000,数词
18,的,助词
19,平板,名词
20,吧,语气词
21,，,标点符号
22,要,动词
23,3Dtouch,名词
24,的,助词
25,，,标点符号
26,要,动词
27,有,动词
28,手,名词
29,写,动词
30,笔,名词
31, ,
32, ,
33,考,名词
34,研,动词
35,党,名词
36,很,副词
37,需要,动词
38,啊,叹词
39,小米,名词
40,就,副词
41,是,动词
42,个,量词
43,毫无,动词
44,诚信,形容词
45,、,标点符号
46,出尔反尔,动词
47,的,助词
48,公司,名词
49,！,标点符号
50,！,标点符号
51,！,标点符号
52,网络,名词
53,上,方位词
54,渲染,动词
55,了,助词
56,半天,数词
57,，,标点符号
58,今年,时间词
59,我们,代词
60,要,动词
61,冲,动词
62,高,形容词
63,端,动词
64,了,语气词
65,，,标点符号
66,我们,代词
67,下,动词
68,血本,名词
69,了,语气词
70,，,标点符号
71,要,动词
72,卖,动词
73,得,助词
74,贵,形容词
75,了,语气词
76,！,标点符号
77,就,介词
78,你,代词
79,吼,动词
80,得,助词
81,最,副词
82,早,形容词
83,，,标点符号
84,吼,动词
85,得,助词
86,最,副词
87,响,动词
88,！,标点符号
89,结果,名词
90,呢,语气词
91,，,标点符号
92,人家,代词
93,卖,动词
94,到,动词
95,6999,数词
96,去,动词
97,了,语气词
98,，,标点符号
99,你们,代词
100,还,副词
101,用,动词
102,最,副词
103,贵,形容词
104,的,助词
105,料,名词
106,卖,动词
107,着,助词
108,最,副词
109,便宜,形容词
110,的,助词
111,价格,名词
112,，,标点符号
113,让,动词
114,别,副词
115,家,量词
116,卖,动词
117,高,形容词
118,端,动词
119,的,助词
120,怎么,代词
121,想,动词
122,，,标点符号
123,太,副词
124,不,副词
125,诚信,形容词
126,了,语气词
127,！,标点符号
128,说,动词
129,好,形容词
130,的,助词
131,高,形容词
132,端,动词
133,呢,语气词
134,？,标点符号
135,如果,连词
136,这个,代词
137,公司,名词
138,以后,方位词
139,还,副词
140,这么,代词
141,干,动词
142,，,标点符号
143,我,代词
144,.,标点符号
145,.,标点符号
146,.,标点符号
147,.,标点符号
148,.,标点符号
149,.,标点符号
150,我,代词
151,还,副词
152,买,动词
153,！,标点符号
154,！,标点符号
155,终于,副词
156,在,介词
157,我,代词
158,的,助词
159,劝说,动词
160,下,方位词
161,全家,名词
162,都,副词
163,要,动词
164,换,动词
165,小米,名词
166,了,语气词
167, ,
168,评论,动词
169,配,动词
170,图,名词
171,哇,语气词
172,，,标点符号
173,第一,数词
174,哎,叹词
175,，,标点符号
176,雷,名词
177,军,名词
178,爸爸,名词
179,回,动词
180,我,代词
181,一下,数词
182,好,形容词
183,不好,形容词
184,小米,名词
