,screen_name,description,geated_aender,crt,text,profile_url,image
0,ZY_ZT,家人，事业，足球和书。,m,Sun Mar 08 23:32:46 +0800 2020,总结下来就三个字：靠自己,https://m.weibo.cn/u/2519587673?uid=2519587673,"https://tvax4.sinaimg.cn/crop.0.0.664.664.180/962ddb59ly8gapi10c43gj20ig0ihtbc.jpg?KID=imgbed,tva&Expires=1584258776&ssig=y2iGr3Qlry"
1,阿光爱上网,打酱油的,m,Mon Mar 09 08:22:18 +0800 2020,"国籍互换评论过万，武汉早期没建立临时医院也是居家隔离，网络舆论仿佛要起义了，以炼狱来形容武汉，那瑞士现在是什么,西方国家是清一色的让轻症在家挺着，他们的火神山呢？开工了吗？好多人不但不骂，反倒认为中国应收尽收是防疫过度，这帮人精神分裂，只有立场，没有是非了",https://m.weibo.cn/u/6448758079?uid=6448758079,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/0072qkz5ly8ftaclntxr0j30ro0rotaj.jpg?KID=imgbed,tva&Expires=1584258776&ssig=albcKwx%2F8H"
2,法式撩小赤佬,就是喜欢你  没有理由💕@李易峰,f,Mon Mar 09 08:10:51 +0800 2020,"那时候恨国蛆说zf只会让人在家等死的出来走两步<span class=""url-icon""><img alt=[吃瓜] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-c95cd5ba58.png"" style=""width:1em; height:1em;"" /></span>",https://m.weibo.cn/u/5976825380?uid=5976825380,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/006wu9jmly8gcckxor5x5j30ig0ig75b.jpg?KID=imgbed,tva&Expires=1584258776&ssig=8wx3%2FK%2FbLt"
3,灰灰是只猫518,,f,Sun Mar 08 23:33:28 +0800 2020,"这是什么骚操作，重症也是从轻症开始的吧<span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[费解] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-bac8e40ab4.png"" style=""width:1em; height:1em;"" /></span>",https://m.weibo.cn/u/6331793053?uid=6331793053,"https://tvax3.sinaimg.cn/crop.24.0.1194.1194.180/006UvyCply8fi5s5muvqzj30yi0x6dk3.jpg?KID=imgbed,tva&Expires=1584258776&ssig=oTf7EMt94Y"
4,旅行咖啡猫,女，挺好的,f,Mon Mar 09 07:50:55 +0800 2020,嗯，b站一个up主前两天发了自己患病痊愈的视频，他就是开始轻症回家吃药，都觉得好转没什么事了，一天早上起来突然呼吸困难后来差点挂了。,https://m.weibo.cn/u/6533098889?uid=6533098889,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/00788dsJly8g96jxxhzdmj30ro0roac3.jpg?KID=imgbed,tva&Expires=1584258776&ssig=LPVRATTmye"
5,蒙面大盗缺俩牙,,m,Mon Mar 09 07:53:08 +0800 2020,疫情初期的武汉也是这样，检测试剂不够，轻症居家隔离，重症检测阳性后才有床位收治，直到火神山，方舱建起来，才有所好转。慢慢看吧，要是1个月以后这些国家还这么操作那真是要凉凉。,https://m.weibo.cn/u/5639170989?uid=5639170989,"https://tvax2.sinaimg.cn/crop.0.0.1006.1006.180/0069DnYNly8gbqfsejunoj30ry0rydid.jpg?KID=imgbed,tva&Expires=1584258776&ssig=xRLBYNxEMh"
6,赖床小公举,,f,Sun Mar 08 23:53:27 +0800 2020,看了一圈，还是关注自己国家吧，人家国民有自己国家管，管成什么样子也是自己的事，我们就别瞎操心了。我们就专心治好剩下的两万多患者，做好边境防控隔离。再次感叹，在中国挺好！,https://m.weibo.cn/u/3484828277?uid=3484828277,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/cfb64275ly8gbx9wokhufj20ro0rodh1.jpg?KID=imgbed,tva&Expires=1584258776&ssig=EszTO%2FUiKO"
7,monday,settle the dust,f,Mon Mar 09 08:08:56 +0800 2020,关注国外也是关注我们自己啊，憨批那么多，批量都输入怎么防得过来，还希望早点能摘口罩呢,https://m.weibo.cn/u/1644791870?uid=1644791870,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/6209883ely8g8mc6nmo4sj20u00u0di1.jpg?KID=imgbed,tva&Expires=1584258776&ssig=wjQMoWD9%2FU"
8,大朵朵Yuki,一枚苦逼的高中生,f,Mon Mar 09 08:14:02 +0800 2020,就这样还舔狗一大堆的，真想把他们送到国外去感受感受，怕是戴口罩都会被打,https://m.weibo.cn/u/5317730726?uid=5317730726,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005NSEGqly8gbz3vvkx7uj30u00u0q49.jpg?KID=imgbed,tva&Expires=1584258776&ssig=0R6fth6gjX"
9,奕然在笑,,f,Sun Mar 08 23:33:57 +0800 2020,话说这是欧洲最富有国家啊,https://m.weibo.cn/u/6664782828?uid=6664782828,"https://tvax3.sinaimg.cn/crop.0.0.500.500.180/007h2Ktely8gbputqkmj0j30dw0dw76g.jpg?KID=imgbed,tva&Expires=1584258776&ssig=Iec94u2JjD"
