,0,1,2,3,4,5,6
0,2020-03-15 14:47:50,湖北,武汉,49999,4,37632,2456
1,2020-03-15 14:47:50,湖北,孝感,3518,0,3253,126
2,2020-03-15 14:47:50,湖北,黄冈,2907,0,2738,125
3,2020-03-15 14:47:50,湖北,荆州,1580,0,1483,50
4,2020-03-15 14:47:50,湖北,鄂州,1394,0,1272,57
5,2020-03-15 14:47:50,湖北,随州,1307,0,1213,45
6,2020-03-15 14:47:50,湖北,襄阳,1175,0,1125,38
7,2020-03-15 14:47:50,湖北,黄石,1015,0,948,38
8,2020-03-15 14:47:50,湖北,宜昌,931,0,864,36
9,2020-03-15 14:47:50,湖北,荆门,928,0,864,39
10,2020-03-15 14:47:50,湖北,咸宁,836,0,819,14
11,2020-03-15 14:47:50,湖北,十堰,672,0,630,8
12,2020-03-15 14:47:50,湖北,仙桃,575,0,526,22
13,2020-03-15 14:47:50,湖北,天门,496,0,477,15
14,2020-03-15 14:47:50,湖北,恩施州,252,0,241,7
15,2020-03-15 14:47:50,湖北,潜江,198,0,182,9
16,2020-03-15 14:47:50,湖北,神农架,11,0,11,0
17,2020-03-15 14:47:50,广东,深圳,421,1,399,3
18,2020-03-15 14:47:50,广东,广州,347,0,330,1
19,2020-03-15 14:47:50,广东,东莞,100,0,97,1
20,2020-03-15 14:47:50,广东,珠海,98,0,97,1
21,2020-03-15 14:47:50,广东,佛山,84,0,80,0
22,2020-03-15 14:47:50,广东,中山,68,0,64,0
23,2020-03-15 14:47:50,广东,惠州,62,0,62,0
24,2020-03-15 14:47:50,广东,汕头,25,0,24,0
25,2020-03-15 14:47:50,广东,江门,23,0,23,0
26,2020-03-15 14:47:50,广东,湛江,22,0,22,0
27,2020-03-15 14:47:50,广东,肇庆,19,0,18,1
28,2020-03-15 14:47:50,广东,梅州,16,0,16,0
29,2020-03-15 14:47:50,广东,茂名,14,0,14,0
30,2020-03-15 14:47:50,广东,阳江,14,0,14,0
31,2020-03-15 14:47:50,广东,清远,12,0,12,0
32,2020-03-15 14:47:50,广东,韶关,10,0,9,1
33,2020-03-15 14:47:50,广东,揭阳,8,0,8,0
34,2020-03-15 14:47:50,广东,潮州,5,0,5,0
35,2020-03-15 14:47:50,广东,汕尾,5,0,5,0
36,2020-03-15 14:47:50,广东,河源,4,0,4,0
